species_pair,phylogeny,group,total,positive,negative
193_2-45_1,2.2214150269999995,non-IBD,276,0,276
204_1-335_1,1.6338713679999992,IBD,12,0,12
204_1-335_1,1.6338713679999992,non-IBD,75,0,75
204_1-66_5,1.7509162509999996,IBD,26,0,26
204_1-66_5,1.7509162509999996,non-IBD,183,0,183
20_1-226_1,2.3182823059999995,IBD,32,0,32
20_1-226_1,2.3182823059999995,non-IBD,11,0,11
20_1-26_2,0.1399771210000002,IBD,14,0,14
20_1-26_2,0.1399771210000002,non-IBD,44,20,24
20_1-32_1,0.4778416559999998,IBD,36,28,8
20_1-32_1,0.4778416559999998,non-IBD,29,10,19
20_1-334_1,2.00165453,IBD,39,0,39
20_1-334_1,2.00165453,non-IBD,12,0,12
20_1-335_1,1.998858033,IBD,346,0,346
20_1-335_1,1.998858033,non-IBD,709,0,709
20_1-338_1,2.033023815,IBD,120,0,120
20_1-338_1,2.033023815,non-IBD,402,0,402
20_1-39_5,0.4876162420000001,IBD,21,21,0
20_1-39_5,0.4876162420000001,non-IBD,25,1,24
20_1-45_1,0.1653756569999998,IBD,285,75,210
20_1-45_1,0.1653756569999998,non-IBD,208,21,187
20_1-46_1,0.4387771649999998,IBD,14,12,2
20_1-46_1,0.4387771649999998,non-IBD,52,9,43
20_1-48_2,0.5009991650000001,IBD,102,42,60
20_1-48_2,0.5009991650000001,non-IBD,185,49,136
20_1-66_5,1.91165551,IBD,44,0,44
20_1-66_5,1.91165551,non-IBD,368,0,368
20_1-97_1,2.574143664,IBD,77,0,77
20_1-97_1,2.574143664,non-IBD,37,0,37
20_1-9_2,1.1538092009999996,IBD,14,14,0
20_1-9_2,1.1538092009999996,non-IBD,14,10,4
219_1-331_1,1.712690181,IBD,30,0,30
219_1-331_1,1.712690181,non-IBD,15,0,15
219_1-335_1,1.7127893999999997,IBD,690,0,690
219_1-335_1,1.7127893999999997,non-IBD,164,0,164
219_1-338_1,1.7469551819999996,IBD,330,0,330
219_1-338_1,1.7469551819999996,non-IBD,116,0,116
219_1-66_5,1.829834283,IBD,120,0,120
219_1-66_5,1.829834283,non-IBD,33,0,33
223_1-335_1,1.7456674569999997,IBD,126,0,126
223_1-335_1,1.7456674569999997,non-IBD,584,0,584
223_1-338_1,1.7798332389999996,IBD,182,0,182
223_1-338_1,1.7798332389999996,non-IBD,301,0,301
