species_pair,phylogeny,group,total,HGT,non_HGT
101_1-48_2,2.5285163779999995,between,84503,0,84503
101_1-66_5,2.1400185549999997,within,275,0,275
101_1-66_5,2.1400185549999997,between,190750,0,190750
101_1-96_1,0.826868428,within,34,0,34
101_1-96_1,0.826868428,between,19841,0,19841
101_1-97_1,0.8590165089999999,within,71,0,71
101_1-97_1,0.8590165089999999,between,21454,0,21454
102_1-10_2,2.352914594999999,within,24,0,24
102_1-10_2,2.352914594999999,between,15336,0,15336
102_1-112_1,0.9454678789999996,within,103,14,89
102_1-112_1,0.9454678789999996,between,28569,73,28496
102_1-113_1,0.907467714,within,23,0,23
102_1-113_1,0.907467714,between,2025,1,2024
102_1-114_1,0.9033137549999996,within,25,0,25
102_1-114_1,0.9033137549999996,between,2919,2,2917
102_1-119_1,0.7897902179999994,within,22,0,22
102_1-119_1,0.7897902179999994,between,15594,1,15593
102_1-120_1,0.7895888919999994,within,65,0,65
102_1-120_1,0.7895888919999994,between,16447,0,16447
102_1-125_1,0.8170282559999995,within,43,1,42
102_1-125_1,0.8170282559999995,between,17621,6,17615
102_1-223_1,0.8341720129999994,within,53,0,53
102_1-223_1,0.8341720129999994,between,11979,0,11979
102_1-226_1,0.8211424609999995,within,24,0,24
102_1-226_1,0.8211424609999995,between,20584,0,20584
102_1-229_3,0.9209054669999994,within,234,0,234
102_1-229_3,0.9209054669999994,between,62742,0,62742
102_1-234_2,0.9130202289999994,within,50,0,50
102_1-234_2,0.9130202289999994,between,1742,0,1742
