variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_31256	8.58E-02	1.58E-03	1.73E+00		0.0329014	2.801343
DNA-binding transcriptional regulator, XRE-family HTH domain	8.58E-02	1.58E-03	1.73E+00		0.0329014	2.801343
DUF4743 domain-containing protein	2.27E-01	1.60E-03	1.43E+00		0.0331933	2.795880
group_12306	8.15E-01	1.60E-03	-1.35E+00		0.0331933	2.795880
group_2835	2.36E-02	1.61E-03	2.25E+00		0.0333384	2.793174
Radical-SAM-C domain-containing protein	6.01E-02	1.62E-03	1.59E+00		0.0333588	2.790485
group_29354	6.01E-02	1.62E-03	1.59E+00		0.0333588	2.790485
group_29355	6.01E-02	1.62E-03	1.59E+00		0.0333588	2.790485
group_10994	3.00E-02	1.64E-03	2.23E+00		0.0335218	2.785156
HTH LytTR-type domain-containing protein	9.76E-01	1.64E-03	-2.21E+00		0.0335218	2.785156
DUF553 domain-containing protein	9.46E-01	1.64E-03	-1.66E+00		0.0335218	2.785156
DUF4330 domain-containing protein	1.50E-01	1.64E-03	1.20E+00		0.0335218	2.785156
group_6826	9.44E-01	1.66E-03	-1.73E+00		0.0338683	2.779892
group_14564	1.85E-01	1.68E-03	-1.51E+00		0.0341508	2.774691
group_7706	3.54E-01	1.68E-03	1.08E+00		0.0341508	2.774691
group_4649	9.23E-02	1.69E-03	1.34E+00		0.0342287	2.772113
Ig-like domain-containing protein	6.61E-01	1.69E-03	-9.60E-01		0.0342287	2.772113
group_30181	1.61E-01	1.70E-03	1.22E+00		0.0343685	2.769551
group_3341	3.86E-02	1.74E-03	1.92E+00		0.0350495	2.759451
group_19229	4.72E-02	1.74E-03	1.77E+00		0.0350495	2.759451
DUF3874 domain-containing protein	9.68E-01	1.77E-03	-2.04E+00		0.0355892	2.752027
group_7044	2.36E-02	1.79E-03	2.30E+00		0.0358614	2.747147
group_17477	2.15E-02	1.79E-03	2.22E+00		0.0358614	2.747147
group_2502	1.03E-01	1.80E-03	1.43E+00		0.0359968	2.744727
group_10036	4.29E-02	1.81E-03	1.69E+00		0.0360021	2.742321
group_20592	1.46E-01	1.81E-03	1.24E+00		0.0360021	2.742321
xkdX	1.61E-01	1.81E-03	1.14E+00		0.0360021	2.742321
group_14087	1.29E-01	1.84E-03	2.99E+00		0.0365334	2.735182
group_24319	7.30E-02	1.85E-03	-2.13E+00		0.0366663	2.732828
group_4469	9.66E-02	1.86E-03	1.29E+00		0.0367333	2.730487
group_29757	1.29E-01	1.86E-03	1.25E+00		0.0367333	2.730487
nrdA	9.74E-01	1.87E-03	-2.16E+00		0.0367347	2.728158
GH3 auxin-responsive promoter	9.55E-01	1.87E-03	-1.81E+00		0.0367347	2.728158
group_28421	3.26E-01	1.87E-03	1.76E+00		0.0367347	2.728158
group_11687	1.59E-01	1.88E-03	1.14E+00		0.0368659	2.725842
group_11845	7.30E-02	1.89E-03	1.50E+00		0.0368666	2.723538
group_16621	7.30E-02	1.89E-03	1.50E+00		0.0368666	2.723538
Methionyl-tRNA synthetase	7.30E-02	1.89E-03	1.50E+00		0.0368666	2.723538
group_23104	7.94E-02	1.90E-03	1.85E+00		0.0368673	2.721246
group_16619	7.30E-02	1.90E-03	1.50E+00		0.0368673	2.721246
group_12995	1.57E-01	1.90E-03	1.13E+00		0.0368673	2.721246
group_14722	7.30E-02	1.91E-03	1.50E+00		0.0369967	2.718967
group_21855	6.22E-02	2.00E-03	1.52E+00		0.0386725	2.698970
group_1695	3.58E-01	2.01E-03	-1.24E+00		0.0387982	2.696804
group_30552	5.58E-02	2.02E-03	2.39E+00		0.0389236	2.694649
matE	2.34E-01	2.04E-03	-2.44E+00		0.0391053	2.690370
group_22504	3.65E-02	2.04E-03	1.90E+00		0.0391053	2.690370
group_10063	3.15E-01	2.04E-03	1.05E+00		0.0391053	2.690370
DUF2129 domain-containing protein	2.34E-01	2.06E-03	1.40E+00		0.0394206	2.686133
group_731	7.51E-02	2.08E-03	1.58E+00		0.0397348	2.681937
surA	2.23E-01	2.12E-03	1.06E+00		0.0404293	2.673664
group_6439	4.51E-02	2.14E-03	2.16E+00		0.0405831	2.669586
group_8539	3.35E-01	2.14E-03	1.68E+00		0.0405831	2.669586
